manufacturer,model,impedance_ohm,fs_hz,qts,qes,qms,vas_l,re_ohm,le_mh,sd_cm2,mms_g,mmd_g,cms_mm_per_n,rms_ns_per_m,bl_tm,xmax_mm,xmech_mm,vd_cm3,linear_travel_pp_mm,max_travel_pp_mm,xlin_mm,eta0_percent,ebp_hz,sensitivity_db,power_rms_w,power_handling_w,nominal_diameter_in,qa_as_printed,sensitivity_1w_1m_db,sensitivity_2v83_1m_db,le_frequency_hz,nominal_diameter_mm,overall_diameter_mm,overall_width_mm,overall_height_mm,overall_depth_mm,mounting_depth_mm,cutout_diameter_mm,bolt_circle_diameter_mm,mounting_hole_diameter_mm,mounting_hole_count,flange_thickness_mm,magnet_diameter_mm,magnet_depth_mm,voice_coil_diameter_mm,voice_coil_height_mm,voice_coil_former_height_mm,gap_height_mm,effective_diaphragm_diameter_mm,cone_dome_diameter_mm,ribbon_dimension_1_mm,ribbon_dimension_2_mm,overall_dimension_1_mm,overall_dimension_2_mm,overall_dimension_3_mm,cutout_dimension_1_mm,cutout_dimension_2_mm,tweeter_voice_coil_diameter_mm,tweeter_voice_coil_height_mm,tweeter_gap_height_mm,krm_microohm,erm,kxm_mh,exm,power_peak_w,frequency_min_hz,frequency_max_hz,crossover_frequency_hz,crossover_slope_db_per_oct,power_continuous_iec268_5_w,power_test_highpass_hz,power_test_highpass_slope_db_per_oct,net_weight_kg,magnet_weight_g,sensitivity_tolerance_db
Fostex,FE203Σ-RE,8,54,0.23,0.23,8.51,37.81,7.2,0.29,,14.01,,0.63,,12.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fostex,FE206EN,8,45,0.19,0.194,4.57,70.99,6.8,0.0525,206,12.2,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fostex,FE206NV,,44.7,0.26,,7.25,50.2,7.2,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fostex,FE206NV2,8,44.7,0.26,0.27,7.25,50.2,7.2,0.1,50.86,15.2,,0.8,,10.7,,,,,,,,,96,,90,,,,,,,,,,89,,182,,,,,,,35,,,,,,,,208,,,,,,,,,,,,,,,,,,,,,,
Fostex,FE208EZ,8,42,0.18,0.19,6.191,60.1,6.4,0.0517,201,13.3,,1.069,,,1.25,,,,,,2.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fostex,FE208NS,8,45,0.22,0.22,6.87,54.57,6.6,0.19,,14.07,,0.91,,10.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fostex,FE83-SOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fostex,FE83A-VB,8,96.3,0.5,0.59,3.32,2.08,6.9,0.08,30.2,1.67,,1.63,0.31,3.3,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fostex,FE83EN,8,165,0.84,1.057,4.06,0.7,7.5,0.0267,28.3,1.53,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fostex,FE83NV,8,149.7,0.78,0.96,4.21,0.9,7.1,0.1,30,1.4,,0.8,,3.2,,,,,,,,,87.5,,15,,,,,,,,,,46,,70,,,,,,,16,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,
Fostex,FE83NV2,8,149.7,0.78,0.96,4.21,0.9,7.1,0.1,,1.4,,0.8,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fostex,FT17H,8,2600,,,,,,,,,,,,,,,,,,,,,98.5,,30,,,,,,,,,,49.5,,62.5,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,
Fostex,FT207D,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fostex,FT28D,8,850,,,,,,,,,,,,,,,,,,,,,90,,40,,,,,,,,,,32.8,,70,,,,,,,,,,,,,,,78,90,,,,,,,,,,,,,,,,,,,,,
Fostex,FT96H,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fostex,FW108HS,8,65,0.46,0.488,8.778,3.6,7.2,0.48,50,6,,,,5.98,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fostex,FW168HS,8,42,0.34,0.346,13.8,14.31,5.9,0.47,132.7,25,,,,10.56,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fostex,FW168N,8,40,0.16,0.17,15.67,14.25,5.9,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fostex,FW208N,8,29,0.2,0.21,13.2,43.4,5.8,,,40,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fostex,fw305,8,25,0.25,0.28,2.73,254,6.6,,,55,,,,,4.8,,,,,,,,95,,40,,,,,,,,,,120.5,,278,,,,,,,,,,,,,,,315,,,,,,,,,,,,,,,,,,,,,,
Fostex,FW405N,8,27,0.45,0.478,6.76,392.5,6.89,0.64,890,100.8,,0.344,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fostex,fw800hs,8,,0.69,0.71,19.22,1.473,6.6,0.163,4015,629,,0.0644,,,2.3,,,,,,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fostex,P650K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fostex,P800K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fostex,PT20K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fostex,PW80K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fostex,t250d,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fostex,T360FD,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fostex,T500A-MKIII,8,,,,,,,,,,,,,,,,,,,,,,104,,15,,,,,,,,,,138.6,,90,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,
Fostex,T900A,8,3600,,,,,,,,,,,,,,,,,,,,,106,,60,,,,,,,,,,98.3,,82,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,
Fostex,T90A,8,3600,,,,,,,,,,,,,,,,,,,,,106,,50,,,,,,,,,,87.8,,60,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,
Fostex,T925A,8,3500,,,,,,,,,,,,,,,,,,,,,108,,50,,,,,,,,,,108,,82,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,
Fostex,T96A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fostex,T96A-SA,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fountek,FE85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fountek,FE86,8,86.4,0.535,0.688,2.4,1.53,6.3,,29.2,2.689,,,,3.656,2.25,,,,,,,,83.4,15,,,,,,,80,,,,41,,72,86,,4,,,,20.3,,,,,,,,80,80,,,,,,,,,,,,,,,,,,,,,
Fountek,FE87,8,101,735,939,3381,1.254,6.776,,,,,,,3.1,1,,,,,,,,84,13,,,,84,,,80,,,,,,,,,,,,,25,5,,,,,,,79,79,52.7,,,,,,,,,,,,,,,,,,,,
Fountek,FM135D-II,8,73,0.28,0.69,1.84,6.47,6.3,,,,,,,,,,,,,,,,89,30,,,,,89,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fountek,FR58C,8,154,1.18,2.38,2.36,0.49,6.35,,,,,,,,,,,,,,,,80.7,5,,,,,80.7,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,
Fountek,FR58EX,8,134,0.54,0.67,2.6,0.31,6.4,,,,,,,,,,,,,,,,82.3,15,,,,,82.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fountek,FR58EX,8,,,,,,,,,,,,,,2.9,,,,,,,,82,15,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fountek,FR59EXE,4,139,0.48,0.67,1.71,0.36,3.9,,,,,,,,,,,,,,,,85.6,10,,,,,85.6,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fountek,FR89EX-8,,97,0.51,0.57,4.88,1.4,,,,,,,,,,,,,,,,,85.3,15,,,,,85.3,,,88.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fountek,FW100B,8,77,0.62,0.78,3.08,2.12,6.2,,,,,,,,,,,,,,,,84,35,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fountek,FW168,8,45,0.39,0.45,3.24,16.5,7.2,,,,,,,,,,,,,,,,87.3,50,,,,,87.3,,,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fountek,FW168K,8,48.6,0.42,0.52,2.31,15.1,6.8,,,,,,,,,,,,,,,,87.1,50,,,,,87.1,,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fountek,FW168K,8,48.6,0.427,0.524,2.319,15.1,6.8,,124.69,15.673,,0.684,,7.896,5,,,,,,,,87,50,,,,,,,165,182,,,86.5,,151.5,169.5,,6,,,,35.5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fountek,FW322,8,40.1,0.461,0.509,4.893,53,6.8,,514.7,111.632,,0.141,,19.5,8,,,,,,,,90,300,,,,,,,304.8,317,,,151.5,,284,300,,8,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fountek,FW322/4,4,41.8,0.35,0.42,2.21,40.6,3.4,,,,,,,,,,,,,,,,90.3,300,,,,,90.3,,,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fountek,FW322/8,8,40.1,0.46,0.5,4.89,53,6.8,,,,,,,,,,,,,,,,90.2,300,,,,,90.2,,,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fountek,Neo CD3.5H,7,,,,,,,,,,,,,,,,,,,,,,95.5,12,,,,,95.5,,,,,,,,,,,,,,,,,,,,,60,9,,,,,,,,,,,,,,,,,,,,,,,
Fountek,Neo-X-2.0,8,,,,,,,,,,,,,,,,,,,,,,94,25,,,,,,,60,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fountek,neocd1.0,5,,,,,,,,,,,,,,,,,,,,,,90,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fountek,NeoCD1.0,5,,,,,,,,,,,,,,,,,,,,,,90,12,,,,,90,,,100,,,,,,,,,,,,,,,,,,38,8,,,,,,,,,,,,,,,,,,,,,,,
Fountek,NeoCD2.0-B,7,,,,,,,,,,,,,,,,,,,,,,97,20,,,,,97,,,,,,,,,,,,,,,,,,,,,120,8,,,,,,,,,,,,,,,,,,,,,,,
Fountek,neocd2.0m-blk,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fountek,NeoCD3.0,7,400,,,,,,,,,,,,,,,,,,,,,95,17,,,,,,,60,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fountek,NeoCD3.0-B,7,,,,,,,,,,,,,,,,,,,,,,93,17,,,,,93,,,110,,,,,,,,,,,,,,,,,,60,8,,,,,,,,,,,,,,,,,,,,,,,
Fountek,neocd3.0m-blk,7,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fountek,neocd3.5h,7,,,,,,0.02,,,,,,,,,,,,,,,,95.5,12,,,,95.5,,,60,,,,100.1,,,,,,,,,,,,,,,,,110,98,,86.1,68.6,,,,,,,,,,,,,,,,,,
Fountek,Neopro10i,9,,,,,,,,,,,,,,,,,,,,,,102,80,,,,,102,,,,,,,,,,,,,,,,,,,,,255,14,,,,,,,,,,,,,,,,,,,,,,,
Fountek,Neopro5i,7,,,,,,,,,,,,,,,,,,,,,,100,60,,,,,100,,,,,,,,,,,,,,,,,,,,,145,15,,,,,,,,,,,,,,,,,,,,,,,
Fountek,NEOPRO6I,7,,,,,,,,17.98,,,,,,,,,,,,,,97,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fountek,NEOS1.0,6,,,,,,,,6,,,,,,,,,,,,,,92,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fountek,NeoX1.0-B,8,,,,,,,,,,,,,,,,,,,,,,92,20,,,,,92,,,,,,,,,,,,,,,,,,,,,12,45,,,,,,,,,,,,,,,,,,,,,,,
Fountek,NeoX2.0-B,8,,,,,,,,,,,,,,,,,,,,,,94,25,,,,,94,,,,,,,,,,,,,,,,,,,,,12,60,,,,,,,,,,,,,,,,,,,,,,,
Fountek,NeoX3.0 black,8,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.994,,,,,,,,,,,,,,,,,62.738,144.018,,50.8,125.984,,,,,,,,,,,,,,,,,,
Fountek,NeoX3.0-B,8,,,,,,,,,,,,,,,,,,,,,,95,30,,,,,95,,,,,,,,,,,,,,,,,,,,,12,80,,,,,,,,,,,,,,,,,,,,,,,
Fountek,RD1.0,8,,,,,,,,,,,,,,,,,,,,,,93,12,,,,,93,,,90,,,,,,,,,,,,,,,,,,8,40,,,,,,,,,,,,,,,,,,,,,,,
Fountek,X3.0,8,,,,,,,,,,,,,,,,,,,,,,95,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gradient,MDS 05 4 OHM - Kevlar,4,58,,,,,3.3,0.43,85,10.5,,,,,,,,,,,,,87,,100,,,,,,,,,,77,,121,,,,,,,25,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,
Grs,10SFPC-W,8,34.1,0.67,0.9,2.92,82.685192049,5.9,0.68,353.9,,,,,,4.3,,,,,,,,,75,,10,,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grs,10SW-4HE,4,25,0.5,,4,60.59805170688,3.8,3,346.4,110.7,,0.36,,10.8,11,,,,,,,,,,,,,,,,254,256.794,,,130.81,,233.172,,,8,,,,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grs,12PR-8,8,30,1.06,1.58,3.18,112.701049436,7.2,1.4,,100,,0.29,,9.2,3.5,,,,,,,,,100,,12,,,,,304.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grs,12SW-4,4,32,0.98,1.27,4.51,69.2,3.7,1.1,,124.6,,,,,8.5,,426,,,,,,,,,,,,,,304.8,311,,,147,,289,294,6,8,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grs,8PF-8,8,51,0.93,1.17,4.58,26.901004262,7.59,1.11,215.4,,,0.44,,,3,,,,,,,,,100,,8,,,,,203.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grs,8SW-4,4,49,0.88,1.19,4.22,26.33466733056,3.86,0.84,,,,,,,6,,,,,,,,,,,,,,,,203.2,209.55,,,100,,183,198,,8,,,,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grs,PRT-8,8,1005,,,,,6.8,0.1,,,,,,,,,,,,,,,,30,,,,,,,,100,,,,,74,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,
Grs,PT2522-4,4,,4.46,,4.6,,3.4,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,,,,,,,,,,,,,,,,,88.9,67.564,,72.898,58.42,,,,,,,,,,,,,,,,,,
Grs,PT5010-8,8,,1.96,,2.14,,6.8,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,15.24,,,,,,,,,,,,,,,,,255.016,124.968,,229.87,106.68,,,,,,,,,,,,,,,,,,
Grs,PT6816-8,8,,4.57,,6.19,,6.4,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,11.938,,,,,,,,,,,,,,,,,200.025,65.024,,175.006,41.91,,,,,,,,,,,,,,,,,,
Grs,PT6825-8,8,,2.06,,,,6.4,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,9.398,,,,,,,,,,,,,,,,,199.898,88.9,,175.006,66.294,,,,,,,,,,,,,,,,,,
Grs,RT1.R-8,8,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grs,RT2.0-8,8,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harwood Acoustics,25R,4,1010,3.18,59.6,3.36,,4.2,,,,,,,,,,,,,,,,95,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,,,,,,
Harwood Acoustics,AM20,4,2000,,,,,3.9,,,,,,,,,,,,,,,,92,,60,,,,,,,,,,20,,,,,,,,,,,,,,,,,73,65,,53,55,,,,,,,,,,,,,,,,,,
Harwood Acoustics,AM22,4,1500,,,,,3.8,,,,,,,,,,,,,,,,94,,50,,,,,,,,,,23.5,,,,,,,,,,,,,,,,,85,110,,61,82,,,,,,,,,,,,,,,,,,
Harwood Acoustics,AM24,6,1300,,,,,5.8,,,,,,,,,,,,,,,,92,,60,,,,,,,,,,45,,,,,,,,,,,,,,,,,100,100,,89,75,,,,,,,,,,,,,,,,,,
Harwood Acoustics,AM25,4,1010,3.18,59.6,3.36,,4.2,,,,,,,,,,,,,,,,95,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,74,106,,,,,,,,,,,,,,,,,,,,,
Harwood Acoustics,AM25.2,8,500,,,,,8.1,,30,,,,,,,,,,,,,,96,,100,,,,,,,,,,19,,,,,,,,,,,,,,,,,84,160,,58,142,,,,,,,,,,,,,,,,,,
Harwood Acoustics,AM35,6,900,,,,,5,,38,,,,,,,,,,,,,,100,,120,,,,,,,,,,21,,,,,,,,,,,,,,,,,180,110,,153,87,,,,,,,,,,,,,,,,,,
Harwood Acoustics,G1,6,205,,,,,4.7,,,,,,,,,,,,,,,,92,,30,,,,,,,,,,84,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,
Harwood Acoustics,G2SE,6,205,,,,,4.7,,,,,,,,,,,,,,,,92,,30,,,,,,,,,,84,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,
Harwood Acoustics,HF20,13,850,,,,,12,,,,,,,,,,,,,,,,90,,10,,,,,,,,,,35,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,
Harwood Acoustics,T27,8,1250,0.96,1.4,3,,6,0.106,,,,,,,,,,,,,,,86,,,,,,,,,,,,18,,74,,,,,,15,19,3,,3.3,,,,,108,,,,,,,,,,,,,,,,,,,,,,
Hiquphon,OW1-92,8,850,,,,,5.8,,,,,,,,,,,,,,,,87,100,,,,,87,,,92,,,,,70,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Hiquphon,OW2-92,8,900,,,,,5.8,,,,,,,,,,,,,,,,90,100,,,,,90,,,92,,,,,70,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
HiVi,B2S,8,152,1.2,1.53,5.69,0.2,,,13,1.6,,,,,1.5,,,,,,,,78,10,,,,,78,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiVi,b3n,8,77,0.86,1.07,4.48,1.7,6.5,,30,3.2,,1.32,,3.1,3,,,,,,,,81,,,,,,81,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiVi,b3s,8,80,0.93,1.19,4.29,1.6,6.5,,30,3.1,,1.26,,2.9,3,,,,,,,,82,,,,,,82,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiVi,B4N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiVi,D10.8,8,24,0.41,0.44,6.84,147.2476022784,6.5,,434,75.5,,0.56,,13.4,8,,,,,,,,,,,,,,,,254,,,,,,,,,,,,,101.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiVi,DMB-A,5,700,,,,,4.3,,,,,,,,,,,,,,,,92,,,,,,92,,,145.034,,,42.926,,102.108,,,,,,,50,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,
HiVi,DMN-A,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiVi,F-10,8,28,0.31,0.33,5.12,78.6,6.5,,363,72.6,,0.4202,,16.2,6,,,,,,,,89,100,100,10,,,,,254,,,,112,,236,,,,,,,50,22,,10,,,,,286,,,,,,,,,,,,,,,,,,,,,,
HiVi,F5,8,52,0.33,0.36,4.31,9.061390909,6.5,0.49,79,11.5,,0.83,,,2.7,,,,,,,,86,35,35,5,,,,,127,,,,94,,136,,,,,,,25,10.4,,5,,,,,154,,,,,,,,,,,,,,,,,,,,,,
HiVi,F8,8,37,0.4,0.44,4.71,38.794079831,6.5,,214,30.5,,0.59,,,5,,,,,,,,,60,,8,,,,,203.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiVi,L5-8R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiVi,L6-4R,4,,0.4,443,3856,14.69,,,,,,,,,4.3,,,,,,,,88,30,,,,,88,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiVi,L6-6R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiVi,L6-8R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiVi,m4n,8,69,1.08,1.35,5.39,4.3,6.5,,53,4.8,,1.08,,3.1,3,,,,,,,,82,,,,,,82,,,,,,,,,,,,,,,20,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiVi,M6N,8,46,0.39,0.42,4.69,21.803971876,6.5,,133,13.6,,0.871,,7.8,4.3,,,,,,,,,45,45,6,,,,,152.4,,,,95.5,,142,,,,,,,25,14.5,,6,,,,,179,,,,,,,,,,,,,,,,,,,,,,
HiVi,M8N-1,8,33,0.45,0.5,5.02,53.5,6.5,,214,36.5,,0.822,,9.6,5.8,,,,,,,,88,80,80,8,,,,,203.2,,,,92,,178,,,,,,,35.5,17.5,,6,,,,,222,,,,,,,,,,,,,,,,,,,,,,
HiVi,q1r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiVi,RT-2C,8,,,,,,6.4,,,,,,,,,,,,,,,,93,,30,,,,,,,,,,19,,,,,,,,,,,,,,,,,176,,,66,158,,,,,,,,,,,,,,,,,,
HiVi,RT1.3WE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiVi,rt1c-a,5,,,,,,5,,,,,,,,,,,,,,,,94,,15,,,,,,,,,,11,,,,,,,,,,,,,,,,,120,,,75,90,,,,,,,,,,,,,,,,,,
HiVi,RT2H-A,8,,,,,,7,,,,,,,,,,,,,,,,94,,30,,,,,,,181.102,,,,,155.702,,,,,,,,,,,,,,,182.5,168.5,,156,158,,,,,,,,,,,,,,,,,,
HiVi,Swans (HiVi-Research) TN 25 Fiber Dome Tweeter,5,1500,,,,,4.6,,,,,,,,,,,,,,,,90,,15,,,,,,,,,,56,,43,,,,,,,25,2,,,,,,,54.5,54.5,,,,,,,,,,,,,,,,,,,,,
HiVi,T20-8,8,2000,,,,,6.5,0.05,,,,,,,,,,,,,,,89,,,,,,89,,,50.8,,,12.7,,35.179,,,,,,,28,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,
HiVi,TN-28,6,1300,,,,,5.1,,,,,,,,,,,,,,,,90,,15,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiVi,TN28-B,6,1300,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,47.625,,,99.314,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,
Jantzen Audio,060-0000,8,1030,0.62,0.8,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jantzen Audio,060-0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jantzen Audio,060-0001,6,700,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jantzen Audio,060-0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jantzen Audio,060-0002,6,62,0.53,,2.34,5.5,4.9,,85,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jantzen Audio,060-0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
