manufacturer,model,impedance_ohm,fs_hz,qts,qes,qms,vas_l,re_ohm,le_mh,sd_cm2,mms_g,mmd_g,cms_mm_per_n,rms_ns_per_m,bl_tm,xmax_mm,xmech_mm,vd_cm3,linear_travel_pp_mm,max_travel_pp_mm,xlin_mm,eta0_percent,ebp_hz,sensitivity_db,power_rms_w,power_handling_w,nominal_diameter_in,qa_as_printed,sensitivity_1w_1m_db,sensitivity_2v83_1m_db,le_frequency_hz,nominal_diameter_mm,overall_diameter_mm,overall_width_mm,overall_height_mm,overall_depth_mm,mounting_depth_mm,cutout_diameter_mm,bolt_circle_diameter_mm,mounting_hole_diameter_mm,mounting_hole_count,flange_thickness_mm,magnet_diameter_mm,magnet_depth_mm,voice_coil_diameter_mm,voice_coil_height_mm,voice_coil_former_height_mm,gap_height_mm,effective_diaphragm_diameter_mm,cone_dome_diameter_mm,ribbon_dimension_1_mm,ribbon_dimension_2_mm,overall_dimension_1_mm,overall_dimension_2_mm,overall_dimension_3_mm,cutout_dimension_1_mm,cutout_dimension_2_mm,tweeter_voice_coil_diameter_mm,tweeter_voice_coil_height_mm,tweeter_gap_height_mm,krm_microohm,erm,kxm_mh,exm,power_peak_w,frequency_min_hz,frequency_max_hz,crossover_frequency_hz,crossover_slope_db_per_oct,power_continuous_iec268_5_w,power_test_highpass_hz,power_test_highpass_slope_db_per_oct,net_weight_kg,magnet_weight_g,sensitivity_tolerance_db
Accuton,C173-11-191-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuton,C173-12-090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuton,C173-12-096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuton,C173-12-096-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuton,C173-6-090,,72,0.26,0.29,3.35,15.5,6.39,0.32,133,15,,0.4,,11.8,5.25,,,,,,,,93,,,,,,93,,,173,,,102,,,,,,,120,49.5,55,,,,,,,,,,,146,,,,,,,,,,,,,,,,,,,
Accuton,C173-6-096,,31,0.28,0.29,5.09,25.7,6.07,0.77,113,18.5,,1.42,,8.7,5,,,,,,,,88,,,,,,88,,,,,,,,146,,,,,120,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuton,C173-6-096-E,,53.8,0.26,0.27,5.6,13.8,6.8,0.31,130,15.1,,0.58,,11.35,5,,,,,,,,91.5,,,,,,91.5,,,173,,,102,,,,,,,120,49.5,55,,,,,,,,,,,146,,,,,,,,,,,,,,,,,,,
Accuton,C173-6-191,,38.6,0.34,0.37,5.27,21.6,5.9,0.72,133,19.8,,0.86,,8.8,5,,,,,,,,88,,,,,,88,,,173,,,94.5,,146,,,,,120,42,38,,,,,,,,,,,146,,,,,,,,,,,,,,,,,,,
Accuton,C173-6-191-E,,38.6,0.34,0.37,5.27,21.6,5.9,0.72,133,19.8,,0.86,,8.8,5,,,,,,,,88,,,,,,88,,,173,,,94.5,,,,,,,120,42,38,,,,,,,,,,,146,,,,,,,,,,,,,,,,,,,
Accuton,C220-11-221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
